cluster,count
1,2315
14,1415
0,5432
10,2196
24,4867
28,1958
25,3552
29,2173
33,1666
22,2030
38,1344
21,1412
17,4427
30,2836
2,1624
12,3152
9,1398
19,2339
20,9552
3,2477
31,2522
11,4633
16,1515
36,4028
4,3067
37,1521
23,2005
18,1886
8,2615
26,2196
34,2593
13,2439
15,2863
27,1189
6,2567
32,1894
7,2257
5,2122
35,2464
39,2440
