cluster,count
11,2594
9,2777
19,2871
21,5435
5,5361
10,3619
13,5036
14,4241
15,3123
22,2910
26,3203
16,2390
7,5193
0,3737
4,2349
2,3653
29,3025
23,4871
3,3573
8,5193
6,2700
24,2748
20,5083
17,1890
25,2239
1,3755
12,4162
18,3760
28,2470
27,3020
