word,cluster
insolvencies,0
insurer,0
insurers,0
intenders,2
interbank,0
interdealer,5
interims,9
intermediaries,0
intermediated,0
intermediation,0
intermeeting,9
introducers,0
inventory,2
inventories,9
invest,5
investable,5
invested,5
investible,5
investing,5
investment,5
investments,5
investor,5
investors,5
invt,5
yoy,7
issuances,1
issuers,0
yuan,7
jackpots,4
k,4
kopeks,7
koruna,7
krona,7
kroner,7
kronor,7
kronur,4
krooni,4
lag,9
laggards,9
layaway,2
layaways,2
layoffs,3
lapsation,4
lati,4
leaseback,1
lendable,5
lender,0
lenders,0
lending,0
lessors,2
leveraged,5
levered,5
levering,5
levy,4
levies,4
liberalization,6
liberalized,6
liquidate,5
liquidating,5
liquidation,3
liquidations,3
liquidity,5
liquidities,5
lira,7
listenership,4
litai,4
loadings,8
loan,0
loans,0
lockout,3
losses,3
lowball,6
macro,9
macroeconomic,9
maltsters,8
manufacturers,2
manufacturing,2
margin,4
marginal,4
marginally,4
margined,5
margins,9
markdown,3
markdowns,3
market,2
marketplace,2
marketplaces,2
markets,2
markup,6
markups,6
marts,2
maturing,5
maturities,5
median,4
merchandising,2
merchanting,2
merger,1
mergers,3
midyear,4
midpoints,4
midscale,2
miners,8
minicars,8
minimums,4
mismarking,5
misvalued,5
mitigant,5
moderating,9
modestly,9
monetary,4
monetise,6
monetising,6
monetization,6
monetizing,6
monoline,0
monopoly,6
moratoria,3
mortgage,0
mortgages,0
motorisation,2
movers,2
mpg,4
multinationals,2
multiples,5
mutualisation,6
mutuals,0
nationalizations,3
nationalize,6
nationalized,6
negative,9
net,4
nickel,8
nickeling,4
ninefold,4
nonaccruing,4
nonagricultural,4
nonbank,0
noncallable,5
noncash,1
noncyclical,5
nonconvertible,5
nondefense,4
nondurable,9
noneducation,4
nonessentials,2
nonexecutive,1
nonfarm,4
nonferrous,8
nonfinancial,0
nonfood,2
noninflationary,9
noninsurance,4
nonlife,0
nonmanufacturing,2
nonperforming,0
nonpresidential,4
nonretirement,4
nonstrategic,5
nonutility,1
normalized,9
occupancies,9
offensives,3
offerings,2
offloading,6
offset,4
offsets,4
offsetting,4
offtake,8
oil,8
oilseeds,8
optionality,5
origination,0
outflow,9
outflows,5
outgo,4
outgoings,4
outlay,4
outlaid,4
outlays,4
outlook,9
outlooks,9
outperform,9
output,8
outstandings,0
outturn,9
outturns,9
overages,4
overbanked,6
overbid,6
overbidding,6
overbooking,6
overbuy,6
overbuying,9
overbuilding,6
overcall,4
overcapacity,9
overcapacities,9
overcapitalised,5
overcapitalized,5
overcorrection,9
overdraft,0
overdrafts,0
