cluster,count
16,9155
1,3845
37,2691
12,1265
29,1947
2,4187
31,1828
4,4600
32,2603
28,1238
39,2292
19,2882
10,3268
34,2397
27,3817
36,1934
3,2204
14,2156
5,3333
7,2271
35,2283
38,2182
8,1927
9,1693
22,2234
24,4385
11,1634
25,1287
20,4309
21,1347
30,1384
17,1922
15,1935
18,2400
13,1601
26,1398
33,2096
6,610
0,874
23,4
