Dataset,Words,Normalization,Clustering_algorithm,Distance_metric,n_clusters,silhouette_score
English-Words_Semantle,97418,None,KMeans,euclidean,10,-0.026163666
English-Words_Semantle,97418,None,KMeans,euclidean,20,-0.08604846
English-Words_Semantle,97418,None,KMeans,euclidean,30,-0.09834176
English-Words_Semantle,97418,None,KMeans,euclidean,40,-0.1063842
English-Words_Semantle,97418,None,KMeans,euclidean,50,-0.110332064
