Dataset,Words,Normalization,Clustering_algorithm,Distance_metric,n_clusters,silhouette_score
english-words-semantle,97418,StandardScaler,KMeans,euclidean,10,-0.025893
english-words-semantle,97418,StandardScaler,KMeans,euclidean,20,-0.08652243
english-words-semantle,97418,StandardScaler,KMeans,euclidean,30,-0.09601326
english-words-semantle,97418,StandardScaler,KMeans,euclidean,40,-0.10189068
english-words-semantle,97418,StandardScaler,KMeans,euclidean,50,-0.10455508
