cluster,count
49,9168
39,2140
44,2384
10,2059
48,1157
12,1763
4,2591
47,1746
9,2942
36,2902
16,655
15,2155
11,2761
29,2332
32,2278
31,1518
33,2153
45,1761
21,1927
18,1950
43,1240
17,1534
37,1358
5,1673
0,1980
19,1210
28,1117
42,3533
26,1316
20,4377
1,1199
24,3639
46,1254
38,1997
23,1323
2,1668
8,2172
41,1324
34,1111
22,2064
25,1182
3,1163
40,725
13,1804
35,1986
30,1379
7,578
6,1626
27,621
14,923
