cluster,count
10,2096
26,1114
24,3906
64,1664
7,716
6,1239
17,821
13,743
33,1149
50,1387
45,1705
9,1788
4,278
60,1180
54,730
8,2441
12,4413
65,1652
28,1313
67,1397
61,997
23,1322
42,4218
47,2160
19,1635
21,1977
68,2492
25,7091
14,1714
2,2487
20,780
55,1364
31,1635
15,1143
59,1405
43,1647
36,1937
18,1302
30,1295
41,2148
34,1392
46,1058
62,1210
48,700
5,762
52,2564
1,1550
3,1847
0,2165
39,696
66,1554
56,1351
53,541
44,981
69,848
11,946
57,1061
63,1264
29,576
40,555
49,798
58,1735
22,977
51,1450
37,1042
16,1394
35,1575
38,862
27,749
32,297
