word,cluster
adjusting,6
altering,0
axing,4
beefing,1
bulking,1
burnishing,2
cementing,1
changing,0
converting,9
cutting,4
discarding,9
disengaging,3
ditching,9
energizing,5
fortifying,2
freshening,5
husbanding,2
improving,2
infusing,2
inserting,9
jettisoning,9
junking,9
lightening,4
loosening,4
mending,2
moneysaving,8
outgrowing,3
overhauling,0
paring,4
patching,2
plugging,9
priming,2
purging,2
ramping,1
readjusting,6
reappraising,2
rearranging,0
reassembling,2
reassessing,6
rebooting,9
rebuilding,2
recalibrating,6
recapturing,7
reclaiming,7
recommitting,2
reconnecting,5
rededicating,2
redirecting,9
rediscovering,7
redoubling,2
reenergizing,2
refashioning,0
refocusing,0
regaining,7
regrouping,2
rehabilitating,2
reinserting,9
reintroducing,7
reinventing,0
reinvigorating,5
rejiggering,0
rejuvenating,5
rekindling,7
reloading,2
remaking,0
remolding,2
renewing,7
replacing,9
replenishing,5
reshaping,0
restoring,7
resupplying,2
resurrecting,7
resuscitating,7
rethinking,0
retrenching,4
revamping,0
reverting,3
revitalizing,5
reviving,7
rewriting,0
righting,7
salvaging,7
salving,2
scrapping,9
sharpening,2
shedding,4
shifting,0
shoring,1
shutting,4
slashing,4
solidifying,0
splitting,4
sprucing,1
switching,9
tinkering,9
toning,4
toughening,4
transforming,0
trimming,4
tweaking,6
unclogging,2
unplugging,9
weaning,3
whittling,4
winnowing,4
