cluster,count
37,1
42,1
35,1
34,1
28,1
0,39
31,1
49,1
39,1
45,1
25,1
33,1
22,5
47,1
38,1
32,1
15,3
2,2
36,1
44,2
30,1
4,3
40,1
16,1
46,1
27,1
10,3
48,1
43,1
9,2
18,1
17,1
1,3
21,2
41,1
26,1
24,1
20,1
3,3
29,1
19,1
13,1
14,1
7,2
6,1
23,1
12,1
11,1
8,1
5,2
