word,cluster
abacuses,9
abir,8
abrading,7
abseils,5
accessory,4
accouterments,4
acoustic,6
adz,7
aerofoils,7
affix,9
affixing,9
afterburning,2
aimer,2
airborn,2
aisle,9
alembic,8
alnico,7
alp,5
alphorn,6
alts,9
aluminous,8
aluminums,7
ambo,5
ambulant,3
ambulating,7
anchors,7
angulated,7
anodization,7
antechambers,8
antiballistic,2
antimacassars,8
antitank,2
apatosaurus,7
aqua,8
aqualung,2
aquaplane,5
areolas,8
argyles,8
armillary,8
armlet,8
armlets,8
armonica,6
armor,2
armors,2
armourer,2
armours,2
artificial,7
artilleries,2
ascender,7
ascenders,7
ashing,1
asperities,7
aspirator,7
assortment,9
astrophotography,2
atlatls,2
attachment,7
attachments,9
attatched,7
automats,9
auxetic,8
aventurine,8
axled,5
baccarat,6
backcast,7
backcomb,7
backings,8
backspacing,7
backstays,7
backstrap,7
backwall,7
backwashed,1
bailers,3
baize,5
balata,8
balboa,8
balconette,8
ballista,2
ballistic,2
ballistically,2
ballons,9
balloonlike,7
ballpoints,9
balsawood,7
bandoleers,2
bandolero,5
bands,6
bankings,5
banner,9
baptismal,8
barbing,3
bare,1
bargeboard,7
barrel,7
barrenwort,8
barres,8
bars,9
basketing,5
basters,8
bather,7
bathmats,8
batiste,8
batterie,2
bazars,3
beamers,2
beamy,5
beanpoles,5
bedcover,8
bedder,5
bedders,5
beddings,1
bedframe,7
bedrail,7
bedspring,7
bedstand,8
bedsteads,8
beefeaters,5
beefiest,4
beehive,1
bejewel,8
belays,7
bell,6
bellmen,3
bellows,6
belowdecks,5
bents,5
berber,8
bespoke,4
bezoar,8
bibbed,8
bicycler,5
bicolored,8
bicuspid,7
bidi,3
biers,8
bifacial,2
biffy,5
bifocal,7
bifold,8
billiard,3
bin,9
binmen,3
binnacles,8
binning,7
binocs,7
bipods,2
birchwood,8
birdseye,8
birling,5
bys,5
bits,9
bivouacs,5
bivvy,5
black,8
blackjacks,3
blacklight,2
blacktops,1
bladelike,7
blader,7
blanket,1
blanks,9
blaster,2
blazon,8
bleeder,7
bleeders,7
blinky,2
blockout,7
bloomy,8
blotching,1
blowguns,8
blowpipes,8
bluey,8
blueing,1
bluelines,7
blueprinted,7
boattail,7
boccie,5
bodiced,8
bodysurfer,5
bodkin,8
boga,2
boilerhouse,5
boilermakers,3
bolas,2
boles,8
boltholes,5
bombsight,2
boneshaker,5
boning,3
bonneted,5
bonze,8
boof,7
bookstand,9
boomboxes,6
boomerang,2
boot,7
booth,9
bootlace,7
bottommost,7
bough,8
bouquet,8
bow,7
bowfront,8
bowlines,7
bows,8
box,9
boxes,9
boxful,9
bracers,8
bracings,7
bracket,9
brackets,9
braider,3
brail,9
brainteasers,9
brass,6
breadths,7
breastbones,7
breastworks,5
breeze,1
bricklike,4
brickmaker,8
brickmaking,5
bridals,8
brilliants,8
brim,9
