cluster,count
34,2556
25,2352
27,2444
29,1408
30,1892
10,2388
14,1007
40,3046
9,1611
8,1626
4,1819
11,819
17,2290
37,2841
1,1913
0,2242
18,1756
48,2282
5,2429
36,2064
13,2013
47,2406
26,2682
12,1450
20,1777
16,2255
28,1778
15,1392
45,1892
44,1483
33,2446
32,1997
41,1360
23,2165
38,2504
46,1323
6,792
3,1681
22,1766
49,1881
21,1765
35,1768
43,2265
24,1950
7,2386
2,2049
19,2345
31,1153
42,1595
39,2314
