cluster,count
15,10465
3,4059
8,3019
11,1743
7,2278
13,5131
20,1936
19,3952
24,3264
6,2376
5,4401
12,3628
16,5021
21,2766
9,2235
27,3057
23,5457
1,3972
29,5513
10,2359
25,2273
4,3068
0,1292
14,2828
17,1397
28,1649
18,2666
22,2333
2,1592
26,1688
