cluster,count
34,2555
25,2346
27,2448
29,1414
30,1878
10,2382
14,1005
40,3048
9,1623
8,1634
4,1798
11,818
17,2292
37,2840
1,1911
0,2240
18,1758
48,2280
5,2431
36,2065
13,2001
47,2408
26,2691
12,1440
20,1779
16,2270
28,1787
15,1399
45,1897
44,1480
33,2453
32,1995
41,1356
23,2161
38,2518
46,1320
6,790
3,1673
22,1774
49,1882
21,1762
35,1769
43,2244
24,1963
7,2369
2,2056
19,2349
31,1157
42,1592
39,2317
