word,cluster
silverpoint,3
symbolizing,0
sinamay,4
sizings,3
skein,7
skins,4
slabbed,3
slub,7
smoothers,6
snuffbox,1
snugs,8
soling,3
spangle,2
spankingly,8
specially,8
spermaceti,6
spyglasses,6
spooner,6
spotlessly,8
sprigged,7
springerle,6
square,8
statuaries,8
stave,4
steatite,3
stereopticon,8
stickpin,1
stickpins,1
styptic,6
stitchwork,7
stockinette,7
stonelike,6
sumi,3
sumptious,8
sunbonnet,7
sunstone,1
swaddles,6
swathing,7
swizzle,6
swordlike,6
tactilely,6
tams,7
tangram,8
tanoa,8
tapis,7
tattersall,7
tetras,6
thatches,4
thonged,6
thumbhole,9
tightfitting,7
tillandsia,4
tiny,6
toadstool,2
toecaps,6
tonged,6
tonka,6
topazes,1
topis,7
topper,7
topsiders,7
torenia,6
totem,1
trellising,4
tricolor,2
tricolored,2
tricorn,1
tricot,7
troffers,3
trug,4
tudor,8
tuffet,6
tulles,7
turtleback,8
twines,4
ulus,1
umbers,6
unbrushed,6
uncarved,8
uncasing,1
unchipped,6
unclasped,7
unconstructed,7
uncracked,6
uncrate,8
uncut,3
undercoats,3
underdrawing,8
underdress,7
underlayers,7
underlays,3
undyed,7
unfaded,6
unplastered,8
unprimed,3
unreplaceable,6
unshorn,7
unsplit,3
unstretched,6
untanned,6
untinted,3
unweathered,3
unwoven,7
unwrought,3
upholsteries,3
upholsters,3
valences,8
varicolored,6
velours,7
venetian,8
verre,8
vertu,8
vesture,8
vigas,8
vimana,8
virga,6
voiles,7
wainscoted,8
waratah,2
ware,4
washstands,3
watchcase,3
waterbottle,6
weals,6
weathercock,8
wefts,7
whalebones,6
whippers,6
white,2
whitewood,4
wirecutters,4
woodenware,4
woodruff,6
woodworks,4
wornout,6
wraparounds,7
wreathe,8
zucchetto,1
zucchettos,1
