cluster,count
113,3527
56,614
87,655
85,641
108,629
48,2366
127,685
28,423
32,1063
76,2942
15,869
26,567
8,404
31,576
19,730
122,434
102,1576
51,606
138,993
35,950
60,732
59,659
53,1779
71,3148
2,800
49,420
96,456
18,574
9,621
136,206
118,384
63,936
17,267
90,1815
64,408
107,442
139,532
27,1075
132,969
1,463
106,899
37,540
13,1896
99,949
130,530
39,698
89,610
23,1612
116,410
97,915
67,1944
14,918
74,998
121,892
119,624
100,315
46,447
68,731
95,788
110,722
104,813
79,693
36,1031
3,714
111,469
33,381
128,810
117,578
82,1324
101,569
75,670
10,789
44,1244
61,417
86,349
4,676
98,423
0,347
126,667
77,427
16,500
25,1178
123,226
125,898
131,583
129,208
112,800
103,648
66,480
42,481
24,325
55,415
80,445
109,342
105,939
21,537
73,337
47,463
120,507
135,234
124,1025
62,347
38,319
12,831
134,296
133,630
29,507
7,690
40,381
58,201
115,918
34,553
52,463
43,287
93,553
30,421
50,355
11,305
88,439
69,449
65,454
81,352
94,635
70,425
114,405
6,955
57,250
91,399
54,507
41,369
5,260
45,304
22,348
84,260
72,418
83,454
92,604
137,165
20,426
78,147
