Dataset,Words,Normalization,Clustering_algorithm,Distance_metric,n_clusters,silhouette_score
english-words,97418,StandardScaler,KMeans,cosine,10,0.042181864
english-words,97418,StandardScaler,KMeans,cosine,20,0.03699603
english-words,97418,StandardScaler,KMeans,cosine,30,0.036109645
english-words,97418,StandardScaler,KMeans,cosine,40,0.03638469
english-words,97418,StandardScaler,KMeans,cosine,50,0.032603092
english-words,97418,StandardScaler,KMeans,cosine,60,0.03149749
english-words,97418,StandardScaler,KMeans,cosine,70,0.032293342
