cluster,count
35,3158
7,1432
51,1947
50,1040
24,1671
41,2290
2,1161
29,1659
15,1491
57,1496
20,615
49,2052
55,2173
48,4644
54,2083
5,3227
56,1013
36,2093
43,1587
40,6702
1,2553
39,1954
34,1727
38,1018
0,1066
58,1421
12,1265
9,2395
11,1163
27,1684
13,1073
42,736
33,1447
46,3594
3,1106
25,2708
21,949
14,1667
16,1371
47,1675
18,978
8,1177
17,1229
53,593
30,734
19,1435
44,1590
6,1045
22,1092
32,1923
4,1207
37,1172
52,1482
59,855
10,1225
28,514
23,1056
26,538
45,734
31,733
