word,cluster
aim,8
aimed,8
air,0
airborne,6
airbursts,6
airbus,0
airbuses,0
airchecks,6
aircraft,0
aircraftman,6
aircrafts,0
aircraftsman,6
aircrew,0
aircrews,0
airdate,1
airdates,1
airdrome,0
airdrop,0
airdropping,0
airdrops,0
airfare,1
airfares,1
airfield,0
airfreight,0
airings,1
airlift,0
airlifting,0
airlifts,0
airline,1
airliner,0
airliners,0
airlines,1
airmail,0
airman,5
airmanship,9
airmen,5
airmobile,6
airpark,0
airparks,0
airplay,1
airplays,6
airport,0
airports,0
airsheds,0
airspace,0
airtime,1
airtimes,1
airwave,1
airwomen,9
airworthy,0
airworthiness,0
aisled,6
ayurveda,2
ajoint,6
aked,6
akey,6
akim,2
akinetic,6
alai,6
alaihi,6
alameda,6
alarge,6
alarm,6
alarms,7
albitite,6
alchemize,6
alcohol,5
alderman,5
aldermanic,9
aldermen,0
alderwoman,5
alehouses,1
aleikum,6
alem,6
alert,5
alerting,7
alertness,6
alerts,7
algebra,9
algebraically,6
algorithmic,7
algorithmically,7
aliased,7
aliases,5
alienage,4
align,8
alignment,8
alignments,8
aliya,9
aliyah,9
aliment,6
alimentation,6
alimony,4
alkylates,6
all,6
allegation,5
allegations,5
allege,4
alleged,5
allegedly,5
alleges,4
alleging,4
alleviate,8
alleviating,8
alleviation,8
alleviations,6
alliance,8
allied,8
allocable,4
allocate,8
allocated,8
allocating,8
allocation,2
allocations,3
allocator,7
allocators,3
allophone,9
allophones,9
allot,2
alloted,2
allotment,2
allotments,2
allotransplantation,6
allotrope,6
allotted,2
allottee,2
allottees,2
allotting,2
allow,8
allowable,4
allowance,4
allowances,2
allowing,8
alluvials,6
almandine,6
almshouse,0
alone,6
alow,6
alphabetical,7
alphabetically,7
alphabetization,6
alphabetize,7
alphabetized,7
alphabetizing,7
alphanumerical,7
alphanumerics,6
already,6
also,6
alterable,7
alterations,8
alterative,8
alternate,8
alternates,9
alternations,6
alternative,8
alternatively,6
alternatives,8
although,6
altocumulus,6
altogether,6
aluminas,6
alumna,9
alumnae,9
alumni,9
alveolitis,6
am,6
amacrine,6
amah,6
amalgamate,8
amalgamated,8
amalgamating,8
amalgamation,2
amalgamations,3
amani,6
amateurs,1
ambassador,5
ambassadorial,9
ambassadors,9
ambassadorship,9
ambassadorships,9
ambit,2
amblyopic,6
ambulance,0
ambulances,0
ambulate,6
ambulatory,9
amdt,6
amebic,6
amelia,6
amenable,8
amend,4
amendable,8
amendatory,4
amended,4
amending,8
amendment,4
amendments,8
amenity,0
amenities,0
ament,6
amicable,8
amicably,8
amici,4
amicus,4
amil,6
ammeters,6
ammoniated,6
ammos,6
ammunition,5
amnesty,5
amnestied,5
amnesties,5
amoebiasis,6
amongst,6
amort,3
amortise,3
amortising,3
amortizable,3
amortization,3
amortize,3
amortized,3
amortizes,3
amortizing,3
amosite,6
amount,6
amounted,6
amounting,2
amounts,6
amove,6
amparo,5
amphetamines,5
amphi,6
amphib,6
